#ticks	median	decon
156 	 3.36583 	 -6.39498e-07
157 	 3.76828 	 -6.41922e-07
158 	 3.19744 	 -6.44525e-07
159 	 4.22261 	 -6.47326e-07
160 	 4.90972 	 -6.50664e-07
161 	 5.45594 	 -6.53803e-07
162 	 5.72034 	 -6.56356e-07
163 	 4.17628 	 -6.59486e-07
164 	 4.17907 	 -6.62158e-07
165 	 2.41127 	 -6.66002e-07
166 	 1.83598 	 -6.69608e-07
167 	 0.765531 	 -6.73314e-07
168 	 0.85846 	 -6.75629e-07
169 	 0.905166 	 -6.77198e-07
170 	 -0.264519 	 -6.81708e-07
171 	 -1.17586 	 -6.83794e-07
172 	 -1.72821 	 -6.88761e-07
173 	 -1.85139 	 -6.91762e-07
174 	 -3.11785 	 -6.9504e-07
175 	 -2.375 	 -6.98715e-07
176 	 -3.23915 	 -7.02252e-07
177 	 -2.92618 	 -7.06464e-07
178 	 -2.34464 	 -7.1007e-07
179 	 -2.19202 	 -7.12931e-07
180 	 -1.44999 	 -7.16055e-07
181 	 -1.15681 	 -7.20441e-07
182 	 -1.17695 	 -7.23099e-07
183 	 -0.455738 	 -7.26759e-07
184 	 -0.0440159 	 -7.30917e-07
185 	 0.232632 	 -7.32611e-07
186 	 0.346128 	 -7.3569e-07
187 	 0.715272 	 -7.38452e-07
188 	 -0.222008 	 -7.41462e-07
189 	 -0.0790405 	 -7.4708e-07
190 	 -0.428557 	 -7.48952e-07
191 	 -0.367824 	 -7.53567e-07
192 	 0.200316 	 -7.5689e-07
193 	 0.482853 	 -7.60655e-07
194 	 0.345319 	 -7.64504e-07
195 	 -0.265654 	 -7.67951e-07
196 	 0.420946 	 -7.71617e-07
197 	 0.527134 	 -7.75615e-07
198 	 1.32328 	 -7.79261e-07
199 	 2.09852 	 -7.82862e-07
200 	 1.28809 	 -7.86816e-07
201 	 2.70603 	 -7.8997e-07
202 	 3.38689 	 -7.93373e-07
203 	 4.57484 	 -7.97103e-07
204 	 6.04281 	 -8.00659e-07
205 	 7.16079 	 -8.03789e-07
206 	 7.10192 	 -8.09302e-07
207 	 6.12945 	 -8.10991e-07
208 	 6.02331 	 -8.13618e-07
209 	 4.3095 	 -8.19827e-07
210 	 3.85188 	 -8.25152e-07
211 	 2.49833 	 -8.27461e-07
212 	 2.4305 	 -8.31475e-07
213 	 1.87587 	 -8.36785e-07
214 	 1.37213 	 -8.3892e-07
215 	 1.11279 	 -8.42253e-07
216 	 0.624619 	 -8.46888e-07
217 	 -0.386371 	 -8.50434e-07
218 	 -0.718519 	 -8.53876e-07
219 	 -1.17321 	 -8.58123e-07
220 	 -0.3177 	 -8.62723e-07
221 	 -0.607218 	 -8.65519e-07
222 	 -1.68779 	 -8.69726e-07
223 	 -1.22737 	 -8.73273e-07
224 	 -0.833952 	 -8.77092e-07
225 	 -0.524712 	 -8.80783e-07
226 	 -0.621686 	 -8.85432e-07
227 	 0.537499 	 -8.89301e-07
228 	 0.48682 	 -8.93816e-07
229 	 0.844678 	 -8.9782e-07
230 	 1.47628 	 -9.02792e-07
231 	 1.16914 	 -9.07585e-07
232 	 0.907571 	 -9.12214e-07
233 	 0.643243 	 -9.17117e-07
234 	 0.576512 	 -9.21885e-07
235 	 -1.40319 	 -9.2497e-07
236 	 -1.17634 	 -9.28889e-07
237 	 -0.420542 	 -9.3322e-07
238 	 -0.441319 	 -9.37924e-07
239 	 0.460443 	 -9.41306e-07
240 	 0.0632534 	 -9.46134e-07
241 	 0.308262 	 -9.50858e-07
242 	 0.90206 	 -9.54777e-07
243 	 0.611191 	 -9.59421e-07
244 	 0.774428 	 -9.63896e-07
245 	 1.06474 	 -9.70632e-07
246 	 1.60539 	 -9.74004e-07
247 	 2.39926 	 -9.78549e-07
248 	 2.19418 	 -9.85771e-07
249 	 3.24194 	 -9.88141e-07
250 	 3.39238 	 -9.91349e-07
251 	 4.76799 	 -9.942e-07
252 	 4.48202 	 -9.99947e-07
253 	 3.69615 	 -1.00344e-06
254 	 3.32561 	 -1.00907e-06
255 	 3.19629 	 -1.01331e-06
256 	 3.24794 	 -1.01819e-06
257 	 3.12205 	 -1.02244e-06
258 	 3.46633 	 -1.02791e-06
259 	 4.51831 	 -1.0321e-06
260 	 3.20946 	 -1.03685e-06
261 	 3.09745 	 -1.04254e-06
262 	 3.04758 	 -1.0472e-06
263 	 3.38768 	 -1.05296e-06
264 	 4.14674 	 -1.0574e-06
265 	 4.04629 	 -1.06397e-06
266 	 2.9221 	 -1.06639e-06
267 	 2.05592 	 -1.07272e-06
268 	 1.85903 	 -1.07863e-06
269 	 0.381472 	 -1.08286e-06
270 	 -0.580574 	 -1.08686e-06
271 	 -1.39303 	 -1.09523e-06
272 	 -1.8866 	 -1.09926e-06
273 	 -2.32043 	 -1.10265e-06
274 	 -2.42607 	 -1.10746e-06
275 	 -3.16045 	 -1.11384e-06
276 	 -3.302 	 -1.11866e-06
277 	 -3.48818 	 -1.12313e-06
278 	 -2.61545 	 -1.12734e-06
279 	 -2.65556 	 -1.13338e-06
280 	 -2.52588 	 -1.13834e-06
281 	 -3.16441 	 -1.1441e-06
282 	 -3.26392 	 -1.14948e-06
283 	 -3.20785 	 -1.15456e-06
284 	 -2.76966 	 -1.16079e-06
285 	 -2.54757 	 -1.16567e-06
286 	 -1.42698 	 -1.17041e-06
287 	 -1.86123 	 -1.17731e-06
288 	 -2.37138 	 -1.18048e-06
289 	 -1.15168 	 -1.18671e-06
290 	 -0.397303 	 -1.19203e-06
291 	 0.510709 	 -1.19853e-06
292 	 0.456422 	 -1.20386e-06
293 	 0.29882 	 -1.2103e-06
294 	 0.532393 	 -1.21423e-06
295 	 0.369352 	 -1.22136e-06
296 	 0.965901 	 -1.22747e-06
297 	 1.54265 	 -1.23299e-06
298 	 1.20113 	 -1.23848e-06
299 	 2.22066 	 -1.24455e-06
300 	 2.8638 	 -1.25065e-06
301 	 2.33699 	 -1.25625e-06
302 	 2.79643 	 -1.26145e-06
303 	 2.71285 	 -1.26821e-06
304 	 2.86015 	 -1.27393e-06
305 	 2.2013 	 -1.27952e-06
306 	 3.09952 	 -1.28587e-06
307 	 3.22179 	 -1.29188e-06
308 	 2.32563 	 -1.29773e-06
309 	 3.73318 	 -1.30328e-06
310 	 3.89553 	 -1.30986e-06
311 	 4.0215 	 -1.31641e-06
312 	 4.53408 	 -1.32062e-06
313 	 3.81097 	 -1.32765e-06
314 	 2.76324 	 -1.33268e-06
315 	 2.78741 	 -1.3389e-06
316 	 2.47713 	 -1.34565e-06
317 	 2.35494 	 -1.35225e-06
318 	 2.7266 	 -1.35823e-06
319 	 4.06788 	 -1.36463e-06
320 	 3.16062 	 -1.37124e-06
321 	 3.84507 	 -1.37766e-06
322 	 3.01544 	 -1.38416e-06
323 	 2.57772 	 -1.39072e-06
324 	 0.855425 	 -1.39674e-06
325 	 0.315656 	 -1.40448e-06
326 	 -0.256119 	 -1.41001e-06
327 	 0.29624 	 -1.41708e-06
328 	 -0.0981112 	 -1.42237e-06
329 	 -1.22474 	 -1.4288e-06
330 	 -0.610351 	 -1.4377e-06
331 	 -0.394625 	 -1.44255e-06
332 	 -1.3301 	 -1.44951e-06
333 	 -1.14814 	 -1.4565e-06
334 	 -1.11613 	 -1.46369e-06
335 	 -0.715411 	 -1.46989e-06
336 	 0.608159 	 -1.47712e-06
337 	 0.0574732 	 -1.48447e-06
338 	 -0.344503 	 -1.49043e-06
339 	 0.619071 	 -1.4979e-06
